ticker,market_cap,pe_ratio,roe,div_yield,net_margin_q0,price_cash,peg_ratio,pb_ratio,eps_growth_5y,eps_growth_this_yr,sales_growth_5y,dividend_payout_ratio
T,266687.81,10.39,13.37,5.59,7.67,4.24,1.880,1.35,-51.52,1.400560,44.72,109.473684
C,133740.84,8.38,10.32,3.21,18.75,6.22,0.700,0.79,52.03,13.852243,8.81,25.373166
BUD,90751.37,13.17,20.56,2.36,17.29,7.12,1.520,1.07,-83.02,-16.911765,56.62,28.355040
ORCL,153967.16,14.29,56.86,2.00,27.62,10.89,1.420,9.51,35.71,9.810127,3.30,30.476287
CHL,162657.22,0.00,0.00,4.41,0.00,4.03,2.030,1.02,,-7.451923,,
UNH,268408.31,18.73,25.55,1.53,5.71,15.48,1.340,4.44,223.64,9.000662,90.20,30.146567
VZ,236405.97,11.88,33.39,4.30,14.61,6.46,3.360,3.76,6.09,2.702703,4.25,52.903226
KO,243430.27,26.89,44.39,2.82,24.38,23.22,3.500,11.52,8.33,6.635071,-24.17,77.294686
NVS,196659.36,16.38,23.39,2.30,24.73,10.99,1.760,3.54,-36.13,9.541985,-12.09,39.207921
HSBC,132973.28,9.41,7.13,12.77,10.64,5.09,6.530,0.69,18.75,-10.000000,-7.01,278.668524
HD,256138.02,22.91,-599.49,2.32,10.20,18.92,1.960,0.00,182.43,2.731707,49.70,53.073171
INTC,243617.92,11.65,29.01,2.32,29.25,7.49,1.520,3.15,128.95,2.464066,25.83,27.966102
GE,88101.54,15.05,14.12,0.40,-4.71,7.81,2.630,2.95,33.33,-13.846154,-18.67,-6.451509
TM,182452.36,8.14,12.12,2.51,8.09,5.71,0.960,0.94,56.11,33.959044,7.17,20.415892
MRK,206908.81,15.72,49.41,2.99,21.01,12.19,2.080,7.99,96.49,10.211946,5.38,64.042163
CMCSA,185627.20,13.07,18.25,2.06,11.98,6.78,1.170,2.21,113.89,3.194888,54.29,29.682084
CSCO,167811.61,13.41,36.40,3.54,21.44,11.50,2.280,4.72,64.29,3.859649,12.24,54.687714
PM,136702.42,16.90,-84.30,5.33,9.21,15.10,1.920,0.00,-26.27,7.514451,-62.03,101.298921
PEP,191896.11,25.02,54.16,2.77,10.89,18.87,3.220,12.95,26.58,6.509946,2.07,73.603083
BA,146627.92,50.07,-70.76,3.16,-0.83,480.90,9.880,0.00,192.97,-185.014409,11.98,-685.000000
MA,292215.06,37.37,150.46,0.55,48.08,30.50,2.150,49.48,146.58,14.671815,79.05,20.151159
DIS,205783.89,20.50,10.23,1.54,13.81,14.41,4.190,2.17,228.70,-7.452340,28.10,28.115016
ABBV,134026.39,10.14,-162.54,5.21,23.69,8.77,1.910,0.00,170.49,17.673378,71.55,89.394109
IBM,115093.26,10.11,62.27,5.00,12.23,6.56,1.770,5.47,-22.27,4.293521,-18.23,61.305640
BTI,96271.60,0.00,0.00,6.21,0.00,7.86,1.560,1.09,,3.874092,,
MMM,87068.41,16.90,51.39,3.88,14.22,12.59,1.680,8.60,-15.64,3.846154,0.41,75.288092
SAP,144759.80,28.27,15.42,0.99,12.07,20.99,2.380,4.19,-117.74,31.840796,36.50,38.585333
TOT,116117.57,9.92,9.94,5.55,5.62,4.11,1.880,0.97,-59.18,12.785388,-21.19,58.033573
MCD,147836.98,25.26,-79.57,2.52,28.59,19.62,2.630,0.00,42.15,8.928571,-26.04,63.451777
AMGN,125109.82,14.30,85.52,3.02,33.57,11.22,1.610,13.03,127.14,4.993252,22.92,49.728088
BP,110695.09,11.05,9.80,7.67,1.42,3.90,1.230,1.10,-42.11,-0.338983,-19.15,208.333333
NVO,149065.66,25.59,73.70,1.01,31.95,22.29,2.350,17.27,46.67,12.195122,19.30,26.016260
SNY,125056.65,14.86,25.84,2.31,7.78,11.69,1.980,1.89,,4.518072,,89.231456
MO,80207.11,10.53,67.74,7.78,-5.15,9.93,1.530,12.76,1.69,4.739336,2.01,-466.666667
NVDA,167253.48,59.67,26.08,0.23,25.60,51.98,3.410,13.70,166.67,37.908497,101.27,14.159323
RY,105811.34,10.78,17.32,4.35,19.36,9.42,1.830,1.78,22.22,5.680120,48.83,47.640118
PTR,71616.12,11.65,2.91,4.45,1.70,1.67,0.000,0.35,,-10.232558,,51.785714
HON,117521.95,20.21,32.21,2.18,16.73,16.67,2.050,6.28,50.00,7.843137,-8.21,42.806234
MDT,134257.84,18.05,14.76,2.16,17.11,13.78,2.420,2.58,91.11,8.045977,78.44,54.822474
TD,90875.64,9.81,15.51,4.55,20.73,8.71,1.820,1.44,29.29,1.192843,53.77,45.967742
GILD,96200.65,12.40,35.49,3.31,23.99,10.43,5.760,4.25,15.79,-1.628664,5.64,59.857482
BMY,136579.36,12.95,31.85,2.98,13.15,13.78,1.170,2.61,85.71,31.130064,55.34,82.191781
UPS,79830.70,12.35,156.11,4.34,5.99,8.95,1.360,24.26,30.61,4.780876,24.54,79.060820
ABEV,52057.07,17.42,18.94,3.10,22.47,12.29,3.110,3.28,-54.55,0.000000,-17.02,55.558642
AVGO,109467.63,15.78,46.16,4.74,12.06,8.07,1.300,0.00,111.32,10.855830,716.50,201.863354
GSK,106273.85,13.48,57.93,5.56,13.72,9.11,5.820,4.53,1.56,-5.993691,-36.67,99.579832
ABT,141991.64,24.85,18.39,1.79,11.56,16.14,2.120,4.55,58.33,11.111111,58.46,69.903252
SAN,55205.80,6.67,7.32,4.86,13.23,4.30,0.000,0.45,-7.14,-3.846154,11.47,41.463415
UTX,109409.66,15.31,16.60,2.33,7.19,10.00,1.880,2.47,18.18,0.363196,24.55,45.865835
UN,96950.67,0.00,0.00,3.20,0.00,10.81,2.570,6.23,,-0.722022,,
TXN,107145.68,22.41,56.21,3.14,34.83,17.68,2.410,12.04,186.36,-2.480916,20.48,68.833652
GS,68716.29,9.47,10.63,2.52,15.70,6.92,0.940,0.89,42.04,15.786971,-5.59,23.809524
KHC,32550.30,7.59,5.93,6.00,7.75,7.79,1.900,0.63,-61.18,-17.894737,36.61,
MS,68113.19,8.57,11.70,3.29,16.80,6.08,0.800,0.93,87.84,6.827309,14.34,26.974952
LLY,134036.95,23.20,192.27,2.11,37.27,19.79,1.750,49.85,533.82,12.086093,8.74,33.789954
BIDU,41305.96,22.23,7.44,0.00,2.07,8.10,2.480,1.67,,1.492537,,0.000000
LFC,66139.41,9.29,13.47,0.72,7.02,32.23,0.000,1.18,,485.714286,,6.349257
USB,66654.82,10.13,15.23,3.84,25.30,8.88,1.670,1.47,36.99,0.460829,29.47,40.579808
UNP,106962.92,18.47,32.86,2.50,27.27,13.22,1.680,5.93,62.18,10.143198,-4.51,46.245530
LMT,108461.31,17.53,198.95,2.50,10.42,14.63,2.310,34.22,108.71,9.886105,34.61,43.755717
SNP,62048.89,9.47,5.12,5.30,1.53,2.46,1.700,0.50,,-11.188811,,48.306595
ITUB,64890.04,9.12,19.12,0.65,13.88,8.32,2.400,1.71,-95.45,1.408451,-60.46,5.714367
NKE,141066.75,31.67,50.03,1.08,11.21,29.98,2.250,15.10,78.95,16.064257,37.85,34.265854
CHTR,106066.78,66.38,4.07,0.00,3.64,9.13,0.940,2.73,,85.809019,408.90,0.000000
WBK,49955.30,0.00,0.00,7.54,0.00,9.36,2.620,1.08,,-6.766917,,
AZN,126967.22,27.33,32.24,3.84,5.38,15.27,1.460,8.70,20.00,15.428571,-15.00,350.950018
SLB,35762.03,17.57,6.77,7.74,-30.80,6.34,1.530,1.48,-75.21,8.163265,-29.90,-27.285092
ACN,116048.28,24.37,33.35,1.75,11.06,20.48,2.260,7.44,67.96,6.385870,38.15,42.723689
DEO,93642.50,0.00,0.00,1.98,0.00,20.46,3.300,7.87,,3.111111,,
NFLX,163578.34,90.26,28.45,0.00,9.26,14.62,2.050,21.57,533.33,46.731235,255.96,0.000000
ADBE,169641.64,53.92,31.47,0.00,26.42,42.87,2.690,16.14,1411.11,22.256098,160.06,0.000000
PYPL,131582.16,47.74,17.33,0.00,13.84,34.45,2.320,7.78,,7.346939,120.28,0.000000
AXP,89644.03,13.55,30.21,1.55,15.44,11.04,1.180,3.89,35.34,10.121951,30.74,21.553912
CAT,67093.58,11.03,41.85,3.38,11.32,7.57,1.350,4.59,125.69,-15.551537,1.70,38.468721
HDB,93482.05,28.53,14.02,0.80,18.25,28.14,1.100,3.95,,24.698795,,22.714681
QCOM,90494.70,30.45,66.54,3.13,17.31,18.97,1.100,20.04,-51.75,29.577465,-21.75,70.454746
VOD,48321.62,0.00,0.00,5.36,0.00,3.71,1.640,0.73,,8.333333,,
SBUX,89424.20,26.55,-62.51,2.15,13.81,18.47,1.870,0.00,89.29,3.180212,62.78,53.594771
TMO,124789.41,25.36,17.24,0.24,14.47,17.30,1.640,4.23,48.53,10.202429,56.91,8.287895
BNS,62101.37,9.39,13.75,5.41,18.06,8.14,1.630,1.24,1.56,0.931099,25.79,54.101668
CVS,83935.73,9.09,14.87,3.11,2.58,6.15,1.270,1.30,14.74,0.706215,88.58,39.370156
ASML,121394.47,39.27,22.93,0.69,23.36,35.64,2.050,8.61,-34.93,26.995646,1.13,27.111754
BLK,73151.11,16.57,13.86,3.07,30.79,14.92,1.360,2.17,50.23,10.533708,25.32,51.018974
BBD,51326.38,7.89,19.15,0.69,16.97,6.58,0.880,1.51,,0.000000,,5.633882
ING,34087.38,6.25,8.94,4.99,26.13,4.88,1.330,0.56,,2.173913,,31.428796
NEE,135032.81,32.96,10.30,2.03,19.62,15.81,3.960,3.26,43.88,8.004779,10.91,72.072165
WBA,43212.33,8.25,21.76,3.75,2.69,5.82,1.270,1.78,67.57,-2.170284,76.12,44.963255
CB,65664.48,14.32,8.59,2.07,12.61,12.29,1.320,1.19,5.14,8.704253,78.23,30.927867
COST,139489.39,37.55,23.96,0.82,2.39,27.12,4.780,8.60,91.43,6.227106,34.55,30.516432
CRM,150435.20,158.51,3.61,0.00,0.74,38.77,6.900,4.44,,31.372549,204.62,0.000000
LOW,82411.44,18.80,173.56,2.05,5.93,14.04,1.160,41.79,-430.00,15.034965,34.17,40.219452
GM,43012.96,6.24,15.19,5.05,4.91,2.03,0.470,0.94,2366.67,23.858921,-6.76,33.187845
PBR,76571.19,9.78,10.16,1.66,13.25,3.38,0.000,1.03,-80.95,-18.881119,-17.61,14.925373
UL,67529.41,0.00,0.00,3.09,0.00,7.53,2.660,4.34,,3.971119,,
UBS,38685.50,9.27,7.89,0.00,15.20,6.31,2.360,0.71,,13.157895,,0.000000
BIIB,55300.14,9.44,46.51,0.00,40.96,8.22,1.190,4.30,253.96,-2.919273,63.86,0.000000
BHP,69218.59,0.00,0.00,6.03,0.00,4.53,2.670,1.32,,5.737705,,
PBR.A,71418.62,9.13,10.16,3.49,13.25,3.15,0.000,0.96,,,,28.358209
PNC,51743.04,10.59,10.91,3.81,24.83,8.04,1.290,1.09,43.41,4.389816,31.24,40.350913
RIO,62670.21,0.00,0.00,6.13,0.00,4.25,0.000,1.39,,-22.590837,,
LYG,40968.13,4.78,15.86,4.75,23.57,5.66,0.000,0.67,,18.181818,,40.740741
ENB,77935.09,19.34,8.74,6.35,11.38,11.35,2.150,1.68,65.12,-0.500000,0.48,122.613065
GD,47313.52,13.64,26.70,2.50,8.85,10.97,1.630,3.48,49.71,6.260434,27.47,34.056790
PUK,41674.80,0.00,0.00,32.49,0.00,6.52,0.950,1.65,,-35.020243,,
CL,61852.85,25.56,1906.25,2.38,15.08,20.95,4.050,111.11,54.76,5.300353,-10.20,62.545455
DHR,104066.56,31.80,11.50,0.45,15.09,24.05,2.490,3.74,-43.21,23.303167,4.66,16.790165
CNI,60938.14,19.48,23.28,1.90,28.25,14.01,1.750,4.48,19.12,6.605923,9.17,36.818182
AMX,54268.44,15.51,27.85,2.16,6.73,4.61,0.710,4.60,,10.377358,,33.962585
COP,51570.02,13.29,11.84,3.52,19.60,5.01,2.870,1.49,-6.43,-22.841226,-37.33,26.291121
MDLZ,81477.14,23.02,13.56,2.00,14.96,17.56,2.700,2.98,600.00,7.287449,-24.34,42.857304
DUK,73427.52,19.79,8.31,3.78,14.89,8.18,4.120,1.59,,2.766798,-1.60,74.703557
AGN,63461.20,10.94,9.82,1.53,-32.76,5.25,1.540,1.09,-1418.18,-0.623583,35.48,-18.511570
FDX,33927.20,9.55,19.10,2.00,0.11,4.53,1.010,1.82,127.64,-30.798969,50.52,1238.095238
SCHW,44760.31,12.79,20.14,2.07,34.55,9.78,1.960,2.35,187.50,-5.514706,84.24,26.966292
AMAT,54299.38,18.36,36.15,1.42,18.83,16.87,1.440,6.27,233.33,36.184211,50.40,27.814570
E,44173.53,13.36,5.55,5.55,0.26,3.23,4.560,0.77,,49.162011,-36.71,1227.272727
AMT,109372.45,31.66,32.51,1.64,24.90,29.62,1.660,19.92,74.51,7.632600,84.27,95.508274
AIG,35504.61,8.84,6.28,3.15,6.73,3.89,0.880,0.53,-31.19,0.653595,-22.94,34.224599
MET,37200.93,6.65,9.14,4.33,8.39,6.92,1.540,0.56,22.81,-0.327332,-4.58,29.090957
CEO,62109.14,0.00,0.00,5.41,0.00,4.15,1.540,0.98,,5.509965,,
TSLA,131389.23,0.00,-13.07,0.00,-3.51,88.24,7.880,17.49,,-146.951220,631.86,0.000000
BBVA,30139.36,6.11,8.78,3.95,14.31,4.19,0.000,0.49,1700.00,-10.810811,42.48,34.616050
SYK,71019.45,22.95,25.75,1.21,13.99,18.11,2.070,5.54,505.56,10.290557,52.54,41.970803
SMFG,41802.36,6.44,6.21,4.36,13.06,4.96,2.340,0.40,,1.041667,,27.957290
EOG,36011.71,12.42,13.89,1.86,15.74,5.42,1.350,1.66,-9.09,-1.807229,-0.61,24.364458
HMC,45361.46,10.44,5.53,3.22,3.06,3.78,1.160,0.56,-108.60,-2.884615,18.53,33.603239
SU,39788.73,12.25,9.86,5.36,7.35,3.53,2.590,1.26,-23.91,-14.150943,-25.49,102.206634
RTN,51377.93,15.47,27.22,2.04,11.46,13.02,1.900,4.20,46.56,4.949664,22.17,31.601006
JD,65094.78,66.60,9.42,0.00,2.15,18.29,0.000,5.35,,-38.235294,497.74,0.000000
ITW,53476.72,21.70,81.83,2.55,17.87,18.27,2.810,17.79,61.61,1.677419,-0.48,55.225878
ABB,45667.68,17.09,18.71,2.30,5.14,12.67,3.400,3.27,4.17,-18.548387,-27.71,73.135420
BK,34782.52,9.75,10.49,3.16,21.39,6.85,1.240,0.95,64.91,0.746269,33.42,27.312835
EPD,51818.99,10.96,18.88,7.52,14.00,7.76,0.000,2.01,32.56,1.860465,-33.82,85.577335
VALE,51898.23,6.45,19.54,5.83,-4.48,4.36,0.000,1.33,,-5.625000,-25.23,-178.782461
SPG,38421.12,9.96,65.24,7.01,36.52,10.99,2.140,13.39,61.82,2.906977,25.57,123.348199
SO,71234.21,21.73,10.38,3.67,22.20,10.77,5.330,2.23,410.26,2.250804,16.54,54.505495
TEF,29802.83,7.09,5.89,5.75,4.03,15.99,0.900,1.05,-30.77,-63.157895,-25.19,84.615385
TMUS,77003.98,20.01,14.09,0.00,7.71,7.62,1.080,2.67,,13.432836,61.16,0.000000
ADP,69369.95,27.85,46.96,2.27,16.97,18.81,2.170,12.93,60.19,13.211009,36.19,64.310954
D,73048.48,20.61,12.05,4.31,8.74,11.17,4.250,2.27,-232.31,2.594340,6.28,223.810856
ANTM,72459.06,14.79,16.34,1.11,4.61,11.76,0.830,2.29,146.25,15.329218,38.11,17.353579
NOC,54948.10,15.45,39.51,1.61,6.64,11.88,0.000,6.23,92.40,8.722301,40.03,40.060698
BMO,41921.00,9.13,13.89,4.89,14.99,7.93,1.580,1.18,15.65,3.943662,49.54,48.484922
OXY,28181.68,19.43,4.82,10.04,-2.94,3.92,10.000,1.15,-52.00,-72.413793,-19.40,-351.107210
LVS,41956.85,16.85,38.61,5.61,19.64,11.23,7.160,6.48,-21.05,-21.165644,-9.09,88.000000
VMW,49959.83,27.39,48.29,0.00,62.27,18.75,1.900,8.59,158.70,-2.660754,101.09,0.000000
CI,74754.62,11.78,14.69,0.02,3.32,7.41,0.960,1.65,85.42,8.621701,346.63,0.297841
CSX,53363.01,16.54,27.49,1.51,27.91,11.53,1.290,4.55,155.00,0.000000,0.03,24.940048
FOXA,17865.13,12.74,14.73,1.56,15.22,9.69,0.000,1.74,,-9.885932,,16.083916
F,26723.63,5.52,13.84,8.90,0.03,2.08,1.340,0.83,20.83,-15.966387,12.45,3001.500750
BDX,66204.21,20.99,15.50,1.29,4.96,11.75,2.060,3.12,-104.83,2.397260,102.46,116.176471
